Project,URL,Matches
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/2837,protect
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/3131,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/7607,demograph
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/6245,inclusive
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/6886,opportunity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/4069,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/8129,inclusive
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/10282,parity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/9850,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/10204,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/8507,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/9418,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/10539,equalit
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/12370,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/10524,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/12717,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/12483,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/16818,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/11647,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/15242,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/17902,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/16775,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/18501,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/18874,transparen
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/19021,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/19127,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/19879,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/15467,protect
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/24646,equalit
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/24823,opportunity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/19014,opportunity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/20683,protect
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/23253,opportunity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/26079,inclusive
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/17214,gender
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/17204,age
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/29753,parity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/30483,parity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/27644,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/7739,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/34030,parity
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/34619,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/27916,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/34696,balance
airbytehq/airbyte,https://github.com/airbytehq/airbyte/issues/16648,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/17650,geography
airbytehq/airbyte,https://github.com/airbytehq/airbyte/pull/18543,geography
albumentations-team/albumentations,https://github.com/albumentations-team/albumentations/pull/203,bias
albumentations-team/albumentations,https://github.com/albumentations-team/albumentations/pull/558,bias
albumentations-team/albumentations,https://github.com/albumentations-team/albumentations/pull/1310,equalit
apache/tvm,https://github.com/apache/tvm/pull/436,protect
apache/tvm,https://github.com/apache/tvm/pull/543,equalit
apache/tvm,https://github.com/apache/tvm/issues/540,equalit
apache/tvm,https://github.com/apache/tvm/pull/567,equalit
apache/tvm,https://github.com/apache/tvm/pull/1172,equalit
apache/tvm,https://github.com/apache/tvm/pull/1176,equalit
apache/tvm,https://github.com/apache/tvm/issues/1106,equalit
apache/tvm,https://github.com/apache/tvm/pull/1631,bias
apache/tvm,https://github.com/apache/tvm/pull/1823,equalit
apache/tvm,https://github.com/apache/tvm/pull/1871,equalit
apache/tvm,https://github.com/apache/tvm/pull/1903,equalit
apache/tvm,https://github.com/apache/tvm/pull/1901,equalit
apache/tvm,https://github.com/apache/tvm/pull/1906,equalit
apache/tvm,https://github.com/apache/tvm/pull/1969,bias
apache/tvm,https://github.com/apache/tvm/pull/2892,bias
apache/tvm,https://github.com/apache/tvm/pull/2829,bias
apache/tvm,https://github.com/apache/tvm/pull/3027,bias
apache/tvm,https://github.com/apache/tvm/pull/3410,bias
apache/tvm,https://github.com/apache/tvm/pull/1620,bias
apache/tvm,https://github.com/apache/tvm/pull/4050,bias
apache/tvm,https://github.com/apache/tvm/pull/4516,bias
apache/tvm,https://github.com/apache/tvm/issues/4670,bias
apache/tvm,https://github.com/apache/tvm/pull/4801,bias
apache/tvm,https://github.com/apache/tvm/pull/5862,bias
apache/tvm,https://github.com/apache/tvm/pull/6523,bias
apache/tvm,https://github.com/apache/tvm/issues/6592,bias
apache/tvm,https://github.com/apache/tvm/pull/7467,bias
apache/tvm,https://github.com/apache/tvm/pull/7554,bias
apache/tvm,https://github.com/apache/tvm/pull/7887,protect
apache/tvm,https://github.com/apache/tvm/pull/6200,bias
apache/tvm,https://github.com/apache/tvm/pull/9135,bias
apache/tvm,https://github.com/apache/tvm/pull/9204,bias
apache/tvm,https://github.com/apache/tvm/pull/9244,bias
apache/tvm,https://github.com/apache/tvm/pull/9676,bias
apache/tvm,https://github.com/apache/tvm/pull/9745,equalit
apache/tvm,https://github.com/apache/tvm/pull/9838,bias
apache/tvm,https://github.com/apache/tvm/issues/7466,bias
apache/tvm,https://github.com/apache/tvm/pull/10898,bias
apache/tvm,https://github.com/apache/tvm/pull/10997,bias
apache/tvm,https://github.com/apache/tvm/pull/10964,protect
apache/tvm,https://github.com/apache/tvm/pull/11128,inclusive
apache/tvm,https://github.com/apache/tvm/pull/11230,inclusive
apache/tvm,https://github.com/apache/tvm/issues/11697,bias
apache/tvm,https://github.com/apache/tvm/pull/12473,balance
apache/tvm,https://github.com/apache/tvm/pull/12666,bias
apache/tvm,https://github.com/apache/tvm/pull/12807,protect
apache/tvm,https://github.com/apache/tvm/pull/13050,equalit
apache/tvm,https://github.com/apache/tvm/pull/13164,equalit
apache/tvm,https://github.com/apache/tvm/pull/13208,protect
apache/tvm,https://github.com/apache/tvm/pull/13198,equalit
apache/tvm,https://github.com/apache/tvm/pull/13274,protect
apache/tvm,https://github.com/apache/tvm/pull/12042,bias
apache/tvm,https://github.com/apache/tvm/pull/13577,balance
apache/tvm,https://github.com/apache/tvm/pull/13624,protect
apache/tvm,https://github.com/apache/tvm/pull/13953,bias
apache/tvm,https://github.com/apache/tvm/pull/14057,protect
apache/tvm,https://github.com/apache/tvm/issues/14335,bias
apache/tvm,https://github.com/apache/tvm/pull/14737,bias
apache/tvm,https://github.com/apache/tvm/pull/14809,bias
apache/tvm,https://github.com/apache/tvm/pull/14807,bias
apache/tvm,https://github.com/apache/tvm/pull/15040,equalit
apache/tvm,https://github.com/apache/tvm/pull/15318,bias
apache/tvm,https://github.com/apache/tvm/pull/15363,bias
apache/tvm,https://github.com/apache/tvm/pull/15621,equalit
apache/tvm,https://github.com/apache/tvm/pull/15590,equalit
apache/tvm,https://github.com/apache/tvm/pull/15628,equalit
apache/tvm,https://github.com/apache/tvm/pull/15664,equalit
apache/tvm,https://github.com/apache/tvm/pull/15708,bias
apache/tvm,https://github.com/apache/tvm/pull/16652,inclusive
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/2916,balance
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/2945,diversity
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/6786,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/590,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/558,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/10244,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/3652,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/1783,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12503,bias
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12543,bias
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/6762,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/13031,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/13089,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/13178,bias
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14956,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14957,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/12205,bias
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14979,protect
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/14958,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/10640,bias
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/pull/12633,transparen
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui/issues/9496,bias
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat/issues/1717,bias
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/516,balance
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/801,transparen
deepchem/deepchem,https://github.com/deepchem/deepchem/issues/889,diversity
deepchem/deepchem,https://github.com/deepchem/deepchem/issues/1544,discriminat
deepchem/deepchem,https://github.com/deepchem/deepchem/issues/1891,balance
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/1896,balance
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/552,bias
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/2520,bias
deepchem/deepchem,https://github.com/deepchem/deepchem/pull/2577,bias
deepchem/deepchem,https://github.com/deepchem/deepchem/issues/3145,bias
deepfakes/faceswap,https://github.com/deepfakes/faceswap/pull/246,balance
deepfakes/faceswap,https://github.com/deepfakes/faceswap/issues/542,ethic
deepfakes/faceswap,https://github.com/deepfakes/faceswap/issues/802,transparen
deepfakes/faceswap,https://github.com/deepfakes/faceswap/pull/818,balance
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/345,diversity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/969,equalit
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/2072,transparen
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/3923,equalit
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/3857,protect
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/5398,diversity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/5494,diversity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/5489,diversity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/6005,equalit
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/6153,equalit
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/3523,parity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/6851,discriminat
deepset-ai/haystack,https://github.com/deepset-ai/haystack/pull/7086,transparen
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/7094,diversity
deepset-ai/haystack,https://github.com/deepset-ai/haystack/issues/7367,diversity
dmlc/dgl,https://github.com/dmlc/dgl/pull/1215,balance
dmlc/dgl,https://github.com/dmlc/dgl/pull/1189,balance
dmlc/dgl,https://github.com/dmlc/dgl/pull/1665,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/2987,bias
dmlc/dgl,https://github.com/dmlc/dgl/issues/3523,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/3970,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/4071,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/4310,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/4916,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/5131,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/5127,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/4747,bias
dmlc/dgl,https://github.com/dmlc/dgl/issues/4882,bias
dmlc/dgl,https://github.com/dmlc/dgl/pull/5466,bias
dmlc/dgl,https://github.com/dmlc/dgl/issues/5682,bias
doccano/doccano,https://github.com/doccano/doccano/pull/987,parity
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/199,fair
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/983,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/922,fair
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/1396,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/1397,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/890,balance
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/1528,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/1893,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/2112,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/2113,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/1781,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/2753,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/3673,diversity
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/1790,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/4287,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/4288,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/4289,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/4290,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/3804,diversity
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/3468,diversity
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/1527,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/4622,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/4623,bias
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/4746,fair
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/5069,diversity
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/5156,discriminat
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/pull/5346,fair
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq/issues/5430,fair
google-deepmind/sonnet,https://github.com/google-deepmind/sonnet/issues/65,bias
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/95,protect
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/413,gender
gradio-app/gradio,https://github.com/gradio-app/gradio/pull/1780,transparen
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/1759,bias
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/3939,protect
gradio-app/gradio,https://github.com/gradio-app/gradio/issues/5247,transparen
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/issues/51,equalit
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/issues/1304,equalit
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/1837,inclusive
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/2555,protect
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/2556,protect
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/issues/3528,transparen
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/issues/4049,geography
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/5145,parity
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/5587,bias
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/5597,equalit
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/5586,inclusive
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/8254,protect
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/7237,parity
great-expectations/great_expectations,https://github.com/great-expectations/great_expectations/pull/9073,age
jina-ai/jina,https://github.com/jina-ai/jina/pull/198,balance
jina-ai/jina,https://github.com/jina-ai/jina/pull/4721,protect
jina-ai/jina,https://github.com/jina-ai/jina/issues/4515,balance
